id,name,rarity,description,cost,tags,damage,damageType,attunement,stackable,weightEach,image,shape,container,containerRows,containerCols
elemental_gem_emerald,"Elemental Gem, Emerald",uncommon,"This gem contains a mote of elemental energy. When you take a Utilize action to break the gem, a Water Elemental is summoned, and the gem ceases to be magical. The elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count.",,wondrous_item,,,,,,,,,,
elemental_gem_red_corundum,"Elemental Gem, Red Corundum",uncommon,"This gem contains a mote of elemental energy. When you take a Utilize action to break the gem, a Fire Elemental is summoned, and the gem ceases to be magical. The elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count.",,wondrous_item,,,,,,,,,,
elemental_gem_yellow_diamond,"Elemental Gem, Yellow Diamond",uncommon,"This gem contains a mote of elemental energy. When you take a Utilize action to break the gem, an Earth Elemental is summoned, and the gem ceases to be magical. The elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count.",,wondrous_item,,,,,,,,,,
elephant,Elephant,common,,200gp,mount,"Speed: 40, Carrying Capacity: 1320 lb.",,,,,,,,,
elixir_of_health,Elixir of Health,rare,"When you drink this potion, you are cured of all magical contagions. In addition, the following conditions end on you: Blinded, Deafened, Paralyzed, and Poisoned. The clear, red liquid has tiny bubbles of light in it.",,potion,,,,,,,,,,
emblem,Emblem,common,"For an Emblem to be an effective Holy Symbol, it must be borne on fabric (such as a tabard or banner) or a Shield. A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus.",5gp,spellcasting_focus,,,,,,,,,,
enduring_spellbook,Enduring Spellbook,common,"This spellbook, along with anything written on its pages, can't be damaged by fire or water. In addition, the spellbook doesn't deteriorate with age.",,wondrous_item,,,,,,,,,,
enspelled_staff,Enspelled Staff,common,,,staff|weapon|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
enspelled_staff_cantrip,Enspelled Staff (Cantrip),uncommon,Bound into this staff is a cantrip. The cantrip is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn.,,staff|weapon|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
enspelled_staff_level_1,Enspelled Staff (Level 1),uncommon,Bound into this staff is a level 1 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn.,,staff|weapon|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
enspelled_staff_level_2,Enspelled Staff (Level 2),rare,Bound into this staff is a level 2 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn.,,staff|weapon|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
enspelled_staff_level_3,Enspelled Staff (Level 3),rare,Bound into this staff is a level 3 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn.,,staff|weapon|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
enspelled_staff_level_4,Enspelled Staff (Level 4),very_rare,Bound into this staff is a level 4 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn.,,staff|weapon|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
enspelled_staff_level_5,Enspelled Staff (Level 5),very_rare,Bound into this staff is a level 5 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn.,,staff|weapon|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
enspelled_staff_level_6,Enspelled Staff (Level 6),legendary,Bound into this staff is a level 6 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn.,,staff|weapon|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
enspelled_staff_level_7,Enspelled Staff (Level 7),legendary,Bound into this staff is a level 7 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn.,,staff|weapon|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
enspelled_staff_level_8,Enspelled Staff (Level 8),legendary,Bound into this staff is a level 8 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn.,,staff|weapon|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
entertainer_s_pack,Entertainer's Pack,common,"An Entertainer's Pack contains the following items: Backpack, Bedroll, Bell, Bullseye Lantern, 3 Costumes, Mirror, 8 flasks of Oil, 9 days of Rations, Tinderbox, and Waterskin.",40gp,adventuring_gear,,,,,,,,,,
ersatz_eye,Ersatz Eye,common,"This magical eye replaces a real one that was lost or removed. While the Ersatz Eye is embedded in your eye socket, you can see through the tiny orb as though it were your natural eye. You can insert or remove the Ersatz Eye as a Magic action, and it can't be removed against your will while you are alive.",,wondrous_item,,,,,,,,,,
essence_of_ether,Essence of Ether,common,A creature subjected to Essence of Ether must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 8 hours. The creature also has the Unconscious condition while Poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake.,300gp,adventuring_gear|poison_(inhaled),,,,,,,,,,
eversmoking_bottle,Eversmoking Bottle,uncommon,"As a Magic action, you can open or close this bottle. Opening the bottle causes thick smoke to billow out, forming a cloud that fills a 60-foot Emanation originating from the bottle. The area within the smoke is Heavily Obscured.",,wondrous_item,,,,,,,,,,
exotic_saddle,Exotic Saddle,common,"A saddle comes with a bit, a bridle, reins, and any other equipment needed to use the saddle. An Exotic Saddle is required for riding an aquatic or a flying mount.",60gp,tack_and_harness,,,,,40,,,,,
explorer_s_pack,Explorer's Pack,common,"An Explorer's Pack contains the following items: Backpack, Bedroll, 2 flasks of Oil, 10 days of Rations, Rope, Tinderbox, 10 Torches, and Waterskin.",10gp,adventuring_gear,,,,,55,,,,,
eye_and_hand_of_vecna,Eye and Hand of Vecna,artifact,"Vecna was a mighty wizard who, through magic and conquest, forged a terrible empire. For all his power, however, Vecna feared death and took steps to prevent his demise by becoming a lich. A treacherous lieutenant named Kas brought Vecna's rule to an end in a terrible battle.",,wondrous_item,,,true,,,,,,,
eye_of_vecna,Eye of Vecna,artifact,"Vecna was a mighty wizard who, through magic and conquest, forged a terrible empire. For all his power, however, Vecna feared death and took steps to prevent his demise by becoming a lich. A treacherous lieutenant named Kas brought Vecna's rule to an end in a terrible battle.",,wondrous_item,,,true,,,,,,,
eyes_of_charming,Eyes of Charming,uncommon,"These crystal lenses fit over the eyes. They have 3 charges. While wearing them, you can expend 1 or more charges to cast Charm Person (save DC 13).",,wondrous_item,,,true,,,,,,,
eyes_of_minute_seeing,Eyes of Minute Seeing,uncommon,"These crystal lenses fit over the eyes. While wearing them, your vision improves significantly out to a range of 1 foot, granting you Darkvision within that range and Advantage on Intelligence (Investigation) checks made to examine something within that range.",,wondrous_item,,,,,,,,,,
eyes_of_the_eagle,Eyes of the Eagle,uncommon,"These crystal lenses fit over the eyes. While wearing them, you have Advantage on Wisdom (Perception) checks that rely on sight. In conditions of clear visibility, you can make out details of even extremely distant creatures and objects as small as 2 feet across.",,wondrous_item,,,,,,,,,,
feed_per_day,Feed (per day),common,,5cp,tack_and_harness,,,,,10,,,,,
figurine_of_wondrous_power,Figurine of Wondrous Power,common,,,wondrous_item,,,,,,,,,,
figurine_of_wondrous_power_bronze_griffon,"Figurine of Wondrous Power, Bronze Griffon",rare,"A Figurine of Wondrous Power is a statuette small enough to fit in a pocket. If you take a Magic action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.",,wondrous_item,,,,,,,,,,
figurine_of_wondrous_power_ebony_fly,"Figurine of Wondrous Power, Ebony Fly",rare,"A Figurine of Wondrous Power is a statuette small enough to fit in a pocket. If you take a Magic action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.",,wondrous_item,,,,,,,,,,
figurine_of_wondrous_power_golden_lions,"Figurine of Wondrous Power, Golden Lions",rare,"A Figurine of Wondrous Power is a statuette small enough to fit in a pocket. If you take a Magic action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.",,wondrous_item,,,,,,,,,,
figurine_of_wondrous_power_ivory_goats,"Figurine of Wondrous Power, Ivory Goats",rare,"A Figurine of Wondrous Power is a statuette small enough to fit in a pocket. If you take a Magic action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.",,wondrous_item,,,,,,,,,,
figurine_of_wondrous_power_marble_elephant,"Figurine of Wondrous Power, Marble Elephant",rare,"A Figurine of Wondrous Power is a statuette small enough to fit in a pocket. If you take a Magic action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.",,wondrous_item,,,,,,,,,,
figurine_of_wondrous_power_obsidian_steed,"Figurine of Wondrous Power, Obsidian Steed",very_rare,"A Figurine of Wondrous Power is a statuette small enough to fit in a pocket. If you take a Magic action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.",,wondrous_item,,,,,,,,,,
figurine_of_wondrous_power_onyx_dog,"Figurine of Wondrous Power, Onyx Dog",rare,"A Figurine of Wondrous Power is a statuette small enough to fit in a pocket. If you take a Magic action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.",,wondrous_item,,,,,,,,,,
figurine_of_wondrous_power_serpentine_owl,"Figurine of Wondrous Power, Serpentine Owl",rare,"A Figurine of Wondrous Power is a statuette small enough to fit in a pocket. If you take a Magic action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.",,wondrous_item,,,,,,,,,,
figurine_of_wondrous_power_silver_raven,"Figurine of Wondrous Power, Silver Raven",uncommon,"A Figurine of Wondrous Power is a statuette small enough to fit in a pocket. If you take a Magic action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.",,wondrous_item,,,,,,,,,,
fine_clothes,Fine Clothes,common,Fine Clothes are made of expensive fabrics and adorned with expertly crafted details. Some events and locations admit only people wearing these clothes.,15gp,adventuring_gear,,,,,6,,,,,
fine_wine_bottle,Fine Wine (bottle),common,,10gp,food_and_drink,,,,,,,,,,
firearm_bullet,Firearm Bullet,common,Firearm Bullets are destroyed upon use in a modern firearm.,3sp,ammunition,,,,,,,,,,
firearm_bullets_10,Firearm Bullets (10),common,Firearm Bullets are destroyed upon use in a modern firearm.,3gp,ammunition,,,,,2,,,,,
flail,Flail,common,,10gp,weapon|martial_weapon|melee_weapon,1d8,bludgeoning,,,2,,,,,
flask,Flask,common,A Flask holds up to 1 pint.,2cp,adventuring_gear,,,,,1,,,,,
flour,Flour,common,Merchants commonly exchange trade goods without using currency.,2cp,trade_good,,,,,2,,,,,
flute,Flute,common,"Ability: Charisma Utilize: Play a known tune (DC 10), or improvise a song (DC 15) If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",2gp,instrument,,,,,1,,,,,
folding_boat,Folding Boat,rare,"This object appears as a wooden box that measures 12 inches long, 6 inches wide, and 6 inches deep. It weighs 4 pounds and floats. It can be opened to store items inside.",,wondrous_item,,,,,4,,,,,
forgery_kit,Forgery Kit,common,"Ability: Dexterity Utilize: Mimic 10 or fewer words of someone else's handwriting (DC 15), or duplicate a wax seal (DC 20) If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",15gp,tool,,,,,5,,,,,
galley,Galley,common,,30000gp,vehicle_(water),"Speed: 4 mphCarrying Capacity: 150 tons cargoCrew 80, AC 15, HP 500, Damage Threshold 20",,,,,,,,,
gaming_set,Gaming Set,common,"If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",,gaming_set,,,,,,,,,,
gauntlets_of_ogre_power,Gauntlets of Ogre Power,uncommon,Your Strength score is 19 while you wear these gauntlets. They have no effect on you if your Strength is 19 or higher without them.,,wondrous_item,,,true,,,,,,,
gem_of_brightness,Gem of Brightness,uncommon,"This prism has 50 charges. While you are holding it, you can take a Magic action and use one of three command words to cause one of the following effects: First Command Word. The gem sheds Bright Light in a 30-foot radius and Dim Light for an additional 30 feet.",,wondrous_item,,,,,,,,,,
gem_of_seeing,Gem of Seeing,rare,"This gem has 3 charges. As a Magic action, you can expend 1 charge. For the next 10 minutes, you have Truesight out to 120 feet when you peer through the gem.",,wondrous_item,,,true,,,,,,,
ginger,Ginger,common,Merchants commonly exchange trade goods without using currency.,1gp,trade_good,,,,,1,,,,,
glaive,Glaive,common,,20gp,weapon|martial_weapon|melee_weapon,1d10,slashing,,,6,,,,,
glamoured_studded_leather,Glamoured Studded Leather,rare,"While wearing this armor, you gain a +1 bonus to Armor Class. You can also take a Bonus Action to cause the armor to assume the appearance of a normal set of clothing or some other kind of armor. You decide what it looks like—including color, style, and accessories—but the armor retains its normal bulk and weight.",,light_armor_(studded_leather_armor),AC 12 + Dex,,,,13,,,,,
glass_bottle,Glass Bottle,common,A Glass Bottle holds up to 1½ pints.,2gp,adventuring_gear,,,,,2,,,,,
glassblower_s_tools,Glassblower's Tools,common,"Ability: Intelligence Utilize: Discern what a glass object held in the past 24 hours (DC 15) Craft: Glass Bottle, Magnifying Glass, Spyglass, Vial Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency. If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool.",30gp,artisan's_tools,,,,,5,,,,,
gloves_of_missile_snaring,Gloves of Missile Snaring,uncommon,"If you're hit by an attack roll made with a Ranged or Thrown weapon while wearing these gloves, you can take a Reaction to reduce the damage by 1d10 plus your Dexterity modifier if you have a free hand. If you reduce the damage to 0, you can catch the ammunition or weapon if it is small enough for you to hold in that hand.",,wondrous_item,,,true,,,,,,,
gloves_of_swimming_and_climbing,Gloves of Swimming and Climbing,uncommon,"While wearing these gloves, climbing and swimming don't cost you extra movement, and you gain a +5 bonus to Strength (Athletics) checks made to climb or swim.",,wondrous_item,,,true,,,,,,,
gloves_of_thievery,Gloves of Thievery,uncommon,"These gloves are imperceptible while worn. While wearing them, you gain a +5 bonus to Dexterity (Sleight of Hand) checks.",,wondrous_item,,,,,,,,,,
goat,Goat,common,Merchants commonly exchange trade goods without using currency.,1gp,trade_good,,,,,,,,,,
goggles_of_night,Goggles of Night,uncommon,"While wearing these dark lenses, you have Darkvision out to 60 feet. If you already have Darkvision, wearing the goggles increases its range by 60 feet.",,wondrous_item,,,,,,,,,,
gold,Gold,common,Merchants commonly exchange trade goods without using currency.,50gp,trade_good,,,,,1,,,,,
gold_dragon_scale_mail,Gold Dragon Scale Mail,very_rare,"Dragon Scale Mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them. Other times, hunters carefully preserve the hide of a dead dragon.",,medium_armor_(scale_mail),AC 14 + Dex (max 2),,true,,45,,,,,
grappling_hook,Grappling Hook,common,"As a Utilize action, you can throw the Grappling Hook at a railing, a ledge, or another catch within 50 feet of yourself, and the hook catches on if you succeed on a DC 13 Dexterity (Acrobatics) check. If you tied a Rope to the hook, you can then climb it.",2gp,adventuring_gear,,,,,4,,,,,
greataxe,Greataxe,common,,30gp,weapon|martial_weapon|melee_weapon,1d12,slashing,,,7,,,,,
greatclub,Greatclub,common,,2sp,weapon|simple_weapon|melee_weapon,1d8,bludgeoning,,,10,,,,,
greatsword,Greatsword,common,,50gp,weapon|martial_weapon|melee_weapon,2d6,slashing,,,6,,,,,
green_dragon_scale_mail,Green Dragon Scale Mail,very_rare,"Dragon Scale Mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them. Other times, hunters carefully preserve the hide of a dead dragon.",,medium_armor_(scale_mail),AC 14 + Dex (max 2),,true,,45,,,,,
gunpowder_keg,Gunpowder (keg),common,"Setting fire to a keg full of Gunpowder causes it to explode. When a keg explodes, each creature in a 10-foot-radius Sphere centered on the keg makes a DC 12 Dexterity saving throw, taking 24 (7d6) Fire damage on a failed save or half as much damage on a successful one.",250gp,explosive,,,,,20,,,,,
gunpowder_powder_horn,Gunpowder (powder horn),common,"Setting fire to a powder horn full of Gunpowder causes it to explode. When a powder horn explodes, each creature in a 10-foot-radius Sphere centered on the powder horn makes a DC 12 Dexterity saving throw, taking 10 (3d6) Fire damage on a failed save or half as much damage on a successful one.",35gp,explosive,,,,,2,,,,,
hag_eye,Hag Eye,uncommon,"A Hag Eye has 3 charges. While wearing or holding this item, you can expend 1 charge to cast Darkvision (targeting yourself only) or See Invisibility. The Hag Eye regains all expended charges daily at dawn.",,wondrous_item,,,,,,,,,,
halberd,Halberd,common,,20gp,weapon|martial_weapon|melee_weapon,1d10,slashing,,,6,,,,,
half_plate_armor,Half Plate Armor,common,The wearer has Disadvantage on Dexterity (Stealth) checks.,750gp,medium_armor,AC 15 + Dex (max 2),,,,40,,,,,
hand_crossbow,Hand Crossbow,common,,75gp,weapon|martial_weapon|ranged_weapon,1d6,piercing,,,3,,,,,
hand_of_vecna,Hand of Vecna,artifact,"Vecna was a mighty wizard who, through magic and conquest, forged a terrible empire. For all his power, however, Vecna feared death and took steps to prevent his demise by becoming a lich. A treacherous lieutenant named Kas brought Vecna's rule to an end in a terrible battle.",,wondrous_item,,,true,,,,,,,
handaxe,Handaxe,common,,5gp,weapon|simple_weapon|melee_weapon,1d6,slashing,,,2,,,,,
hat_of_disguise,Hat of Disguise,uncommon,"While wearing this hat, you can cast the Disguise Self spell. The spell ends if the hat is removed.",,wondrous_item,,,true,,,,,,,
hat_of_many_spells,Hat of Many Spells,very_rare,"This pointed hat has the following properties. Spellcasting Focus. While holding the hat, you can use it as a Spellcasting Focus for your Wizard spells.",,wondrous_item|spellcasting_focus,,,true,,,,,,,
hat_of_vermin,Hat of Vermin,common,"This hat has 3 charges. While holding the hat, you can take a Magic action to expend 1 charge and summon your choice of a Bat, a Frog, or a Rat. The summoned creature magically appears in the hat and tries to get away from you as quickly as possible.",,wondrous_item,,,,,,,,,,
hat_of_wizardry,Hat of Wizardry,common,"This cone-shaped hat is adorned with moons and stars. While you are wearing it, you gain the following benefits. Spellcasting Focus.",,wondrous_item|spellcasting_focus,,,true,,,,,,,
headband_of_intellect,Headband of Intellect,uncommon,Your Intelligence score is 19 while you wear this headband. It has no effect on you if your Intelligence is 19 or higher without it.,,wondrous_item,,,true,,,,,,,
healer_s_kit,Healer's Kit,common,"A Healer's Kit has ten uses. As a Utilize action, you can expend one of its uses to stabilize an Unconscious creature that has 0 Hit Points without needing to make a Wisdom (Medicine) check.",5gp,adventuring_gear,,,,,3,,,,,
heavy_crossbow,Heavy Crossbow,common,,50gp,weapon|martial_weapon|ranged_weapon,1d10,piercing,,,18,,,,,
helm_of_brilliance,Helm of Brilliance,very_rare,"This helm is set with 1d10 diamonds, 2d10 rubies, 3d10 fire opals, and 4d10 opals. Any gem pried from the helm crumbles to dust. When all the gems are removed or destroyed, the helm loses its magic.",,wondrous_item,,,true,,,,,,,
helm_of_comprehending_languages,Helm of Comprehending Languages,uncommon,"While wearing this helm, you can cast Comprehend Languages from it.",,wondrous_item,,,,,,,,,,
helm_of_telepathy,Helm of Telepathy,uncommon,"While wearing this helm, you have telepathy with a range of 30 feet, and you can cast Detect Thoughts or Suggestion (save DC 13) from the helm. Once either spell is cast from the helm, that spell can't be cast from it again until the next dawn.",,wondrous_item,,,true,,,,,,,
helm_of_teleportation,Helm of Teleportation,rare,"This helm has 3 charges. While wearing it, you can expend 1 charge to cast Teleport from it. The helm regains 1d3 expended charges daily at dawn.",,wondrous_item,,,true,,,,,,,
herbalism_kit,Herbalism Kit,common,"Ability: Intelligence Utilize: Identify a plant (DC 10) Craft: Antitoxin, Candle, Healer's Kit, Potion of Healing If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",5gp,tool,,,,,3,,,,,
heward_s_handy_haversack,Heward's Handy Haversack,rare,"This backpack has a central pouch and two side pouches, each of which is an extradimensional space. Each side pouch can hold up to 200 pounds of material, not exceeding a volume of 25 cubic feet. The central pouch can hold up to 500 pounds of material, not exceeding a volume of 64 cubic feet.",,wondrous_item,,,,,5,,,,,
heward_s_handy_spice_pouch,Heward's Handy Spice Pouch,common,"This belt pouch appears empty and has 10 charges. While holding the pouch, you can take a Magic action to expend 1 charge, name any nonmagical food seasoning (such as salt, pepper, saffron, or cilantro), and remove a pinch of the desired seasoning from the pouch. A pinch is enough to season a single meal.",,wondrous_item,,,,,,,,,,
hide_armor,Hide Armor,common,,10gp,medium_armor,AC 12 + Dex (max 2),,,,12,,,,,
holy_symbol,Holy Symbol,common,A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus.,,spellcasting_focus,,,,,,,,,,
holy_water,Holy Water,common,,25gp,adventuring_gear,,,,,1,,,,,
hooded_lantern,Hooded Lantern,common,"A Hooded Lantern burns Oil as fuel to cast Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. As a Bonus Action, you can lower the hood, reducing the light to Dim Light in a 5-foot radius, or raise it again.",5gp,adventuring_gear,,,,,2,,,,,
horn,Horn,common,"Ability: Charisma Utilize: Play a known tune (DC 10), or improvise a song (DC 15) If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",3gp,instrument,,,,,2,,,,,
horn_of_blasting,Horn of Blasting,rare,"You can take a Magic action to blow the horn, which emits a thunderous blast in a 30-foot Cone that is audible out to 600 feet. Each creature in the Cone makes a DC 15 Constitution saving throw. On a failed save, a creature takes 5d8 Thunder damage and has the Deafened condition for 1 minute.",,wondrous_item|instrument_(horn),,,,,,,,,,
horn_of_silent_alarm,Horn of Silent Alarm,common,"This horn has 4 charges and regains 1d4 expended charges daily at dawn. As a Magic action, you can blow the horn while expending 1 charge. One creature of your choice hears the horn's blare, provided that creature is within 600 feet of the horn.",,wondrous_item|instrument_(horn),,,,,,,,,,
horn_of_valhalla,Horn of Valhalla,common,"You can take a Magic action to blow this horn. In response, warrior spirits from the plane of Ysgard appear in unoccupied spaces within 60 feet of you. Each spirit uses the Berserker stat block and returns to Ysgard after 1 hour or when it drops to 0 Hit Points.",,wondrous_item,,,,,,,,,,
horn_of_valhalla_brass,"Horn of Valhalla, Brass",rare,"You can take a Magic action to blow this horn. In response, warrior spirits from the plane of Ysgard appear in unoccupied spaces within 60 feet of you. Each spirit uses the Berserker stat block and returns to Ysgard after 1 hour or when it drops to 0 Hit Points.",,wondrous_item|instrument_(horn),,,,,,,,,,
horn_of_valhalla_bronze,"Horn of Valhalla, Bronze",very_rare,"You can take a Magic action to blow this horn. In response, warrior spirits from the plane of Ysgard appear in unoccupied spaces within 60 feet of you. Each spirit uses the Berserker stat block and returns to Ysgard after 1 hour or when it drops to 0 Hit Points.",,wondrous_item|instrument_(horn),,,,,,,,,,
horn_of_valhalla_iron,"Horn of Valhalla, Iron",legendary,"You can take a Magic action to blow this horn. In response, warrior spirits from the plane of Ysgard appear in unoccupied spaces within 60 feet of you. Each spirit uses the Berserker stat block and returns to Ysgard after 1 hour or when it drops to 0 Hit Points.",,wondrous_item|instrument_(horn),,,,,,,,,,
horn_of_valhalla_silver,"Horn of Valhalla, Silver",rare,"You can take a Magic action to blow this horn. In response, warrior spirits from the plane of Ysgard appear in unoccupied spaces within 60 feet of you. Each spirit uses the Berserker stat block and returns to Ysgard after 1 hour or when it drops to 0 Hit Points.",,wondrous_item|instrument_(horn),,,,,,,,,,
horseshoes_of_speed,Horseshoes of Speed,rare,"These horseshoes come in a set of four. As a Magic action, you can touch one of the horseshoes to the hoof of a horse or similar creature, whereupon the horseshoe affixes itself to the hoof. Removing a horseshoe also takes a Magic action.",,wondrous_item,,,,,,,,,,
horseshoes_of_a_zephyr,Horseshoes of a Zephyr,very_rare,"These horseshoes come in a set of four. As a Magic action, you can touch one of the horseshoes to the hoof of a horse or similar creature, whereupon the horseshoe affixes itself to the hoof. Removing a horseshoe also takes a Magic action.",,wondrous_item,,,,,,,,,,
hunting_trap,Hunting Trap,common,"As a Utilize action, you can set a Hunting Trap, which is a sawtooth steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 Piercing damage and have its Speed reduced to 0 until the start of its next turn.",5gp,adventuring_gear,,,,,25,,,,,
immovable_rod,Immovable Rod,uncommon,"This iron rod has a button on one end. You can take a Utilize action to press the button, which causes the rod to become magically fixed in place. Until you or another creature takes a Utilize action to push the button again, the rod doesn't move, even if it defies gravity.",,rod,,,,,2,,,,,
ink,Ink,common,"Ink comes in a 1-ounce bottle, which provides enough ink to write about 500 pages.",10gp,adventuring_gear,,,,,,,,,,
ink_pen,Ink Pen,common,"Using Ink, an Ink Pen is used to write or draw.",2cp,adventuring_gear,,,,,,,,,,
instrument_of_illusions,Instrument of Illusions,common,"While you are playing this musical instrument, you can take a Magic action to create harmless, illusory visual effects within a 5-foot Emanation originating from the instrument. If you are a Bard, the size of the Emanation increases to 15 feet. Sample visual effects include luminous musical notes, a spectral dancer, butterflies, and gently falling snow.",,wondrous_item,,,,,,,,,,
instrument_of_scribing,Instrument of Scribing,common,"This musical instrument has 3 charges and regains all expended charges daily at dawn. While you are playing it, you can take a Magic action to expend 1 charge and write a magical message on a nonmagical object or surface that you can see within 30 feet of yourself. The message can be up to six words long and is written in a language you know.",,wondrous_item,,,,,,,,,,
instrument_of_the_bards,Instrument of the Bards,common,"An Instrument of the Bards is superior to an ordinary instrument in every way. Seven types of these instruments exist, each named after a bard college. A creature that attempts to play the instrument without being attuned to it must succeed on a DC 15 Wisdom saving throw or take 2d4 Psychic damage.",,wondrous_item,,,true,,,,,,,
instrument_of_the_bards_anstruth_harp,"Instrument of the Bards, Anstruth Harp",very_rare,"An Instrument of the Bards is superior to an ordinary instrument in every way. Seven types of these instruments exist, each named after a bard college. A creature that attempts to play the instrument without being attuned to it must succeed on a DC 15 Wisdom saving throw or take 2d4 Psychic damage.",,wondrous_item,,,true,,,,,,,
